D,C,NumBur,nTour,ELECTION,Inscrits,Votants,Exprime,_NAME_,_LABEL_,BAYR,BESA,BOVE,BUFF,LAGU,LEPE,NIHO,ROYA,SARK,SCHI,VILL,VOYN,Inscrits2,Votants2,Exprime2,ROYA2,SARK2,abstention,abstention2,LIBGEO,REG,DEP,TAU2010,POP_MUN_2008,Pctabstention,PctBAYR,PctBESA,PctBOVE,PctBUFF,PctLAGU,PctLEPE,PctNIHO,PctROYA,PctSARK,PctSCHI,PctVILL,PctVOYN,Pctabstention2,PctSARK2,PctROYA2,IDENT,Strate
SUD-EST,033,0001,2,Pres2007,1052,816,807,nbVoix,Nombre de voix,149,29,8,7,10,73,2,183,315,2,15,14,1053,820,789,316,473,236,233,Bellegarde-sur-Valserine,82,01,1,11404,0.2243346008,0.1846344486,0.0359355638,0.009913259,0.0086741016,0.0123915737,0.0904584882,0.0024783147,0.2267657993,0.3903345725,0.0024783147,0.0185873606,0.0173482032,0.2212725546,0.5994930292,0.4005069708,010330001,5
SUD-EST,033,0002,2,Pres2007,1065,842,825,nbVoix,Nombre de voix,161,57,10,18,12,82,4,240,208,1,11,21,1065,822,784,416,368,223,243,Bellegarde-sur-Valserine,82,01,1,11404,0.2093896714,0.1951515152,0.0690909091,0.0121212121,0.0218181818,0.0145454545,0.0993939394,0.0048484848,0.2909090909,0.2521212121,0.0012121212,0.0133333333,0.0254545455,0.2281690141,0.4693877551,0.5306122449,010330002,1
SUD-EST,033,0003,2,Pres2007,1157,928,914,nbVoix,Nombre de voix,211,33,14,13,12,76,6,220,294,8,16,11,1156,925,888,415,473,229,231,Bellegarde-sur-Valserine,82,01,1,11404,0.1979256698,0.2308533917,0.0361050328,0.0153172867,0.0142231947,0.0131291028,0.0831509847,0.0065645514,0.2407002188,0.3216630197,0.0087527352,0.0175054705,0.0120350109,0.1998269896,0.5326576577,0.4673423423,010330003,3
SUD-EST,033,0004,2,Pres2007,533,398,393,nbVoix,Nombre de voix,47,24,3,8,11,57,0,121,114,3,1,4,533,387,375,185,190,135,146,Bellegarde-sur-Valserine,82,01,1,11404,0.2532833021,0.1195928753,0.0610687023,0.0076335878,0.0203562341,0.0279898219,0.1450381679,0,0.3078880407,0.2900763359,0.0076335878,0.0025445293,0.010178117,0.2739212008,0.5066666667,0.4933333333,010330004,4
SUD-EST,033,0005,2,Pres2007,202,177,173,nbVoix,Nombre de voix,38,4,3,4,3,24,1,42,42,0,3,9,202,170,159,73,86,25,32,Bellegarde-sur-Valserine,82,01,1,11404,0.1237623762,0.2196531792,0.0231213873,0.0173410405,0.0231213873,0.0173410405,0.1387283237,0.0057803468,0.2427745665,0.2427745665,0,0.0173410405,0.0520231214,0.1584158416,0.5408805031,0.4591194969,010330005,6
SUD-EST,033,0006,2,Pres2007,737,598,587,nbVoix,Nombre de voix,86,45,14,9,11,80,4,175,143,0,15,5,737,580,553,301,252,139,157,Bellegarde-sur-Valserine,82,01,1,11404,0.1886024423,0.1465076661,0.0766609881,0.0238500852,0.0153321976,0.0187393526,0.136286201,0.0068143101,0.2981260647,0.2436115843,0,0.0255536627,0.0085178876,0.2130257802,0.4556962025,0.5443037975,010330006,4
SUD-EST,033,0007,2,Pres2007,1396,1106,1091,nbVoix,Nombre de voix,204,65,12,19,8,96,5,414,228,2,25,13,1396,1088,1046,649,397,290,308,Bellegarde-sur-Valserine,82,01,1,11404,0.2077363897,0.186984418,0.0595783685,0.0109990834,0.0174152154,0.0073327223,0.0879926673,0.0045829514,0.3794683776,0.2089825848,0.0018331806,0.0229147571,0.0119156737,0.2206303725,0.379541109,0.620458891,010330007,1
SUD-EST,034,0001,2,Pres2007,1106,941,913,nbVoix,Nombre de voix,165,38,15,9,13,90,6,223,322,0,24,8,1106,944,894,367,527,165,162,Belley,82,01,2,8750,0.1491862568,0.1807228916,0.0416210296,0.0164293538,0.0098576123,0.0142387733,0.0985761227,0.0065717415,0.2442497262,0.3526834611,0,0.026286966,0.008762322,0.1464737794,0.5894854586,0.4105145414,010340001,5
SUD-EST,034,0002,2,Pres2007,998,854,841,nbVoix,Nombre de voix,166,50,6,6,7,85,4,246,227,3,26,15,999,841,809,417,392,144,158,Belley,82,01,2,8750,0.1442885772,0.1973840666,0.0594530321,0.0071343639,0.0071343639,0.0083234245,0.1010701546,0.0047562426,0.292508918,0.2699167658,0.0035671819,0.0309155767,0.0178359096,0.1581581582,0.4845488257,0.5154511743,010340002,3
SUD-EST,034,0003,2,Pres2007,1066,933,921,nbVoix,Nombre de voix,152,27,5,8,6,93,4,320,286,0,14,6,1066,940,913,485,428,133,126,Belley,82,01,2,8750,0.1247654784,0.1650380022,0.0293159609,0.0054288817,0.0086862106,0.006514658,0.1009771987,0.0043431053,0.3474484256,0.3105320304,0,0.0152008686,0.006514658,0.1181988743,0.4687842278,0.5312157722,010340003,1
SUD-EST,034,0004,2,Pres2007,954,816,805,nbVoix,Nombre de voix,130,20,7,7,8,98,8,153,341,2,25,6,955,830,799,269,530,138,125,Belley,82,01,2,8750,0.1446540881,0.1614906832,0.0248447205,0.0086956522,0.0086956522,0.0099378882,0.1217391304,0.0099378882,0.1900621118,0.4236024845,0.002484472,0.0310559006,0.0074534161,0.1308900524,0.6633291615,0.3366708385,010340004,5
SUD-EST,034,0005,2,Pres2007,1010,856,834,nbVoix,Nombre de voix,184,34,7,10,10,58,5,210,279,0,20,17,1010,872,822,372,450,154,138,Belley,82,01,2,8750,0.1524752475,0.2206235012,0.0407673861,0.0083932854,0.0119904077,0.0119904077,0.0695443645,0.0059952038,0.2517985612,0.3345323741,0,0.0239808153,0.020383693,0.1366336634,0.5474452555,0.4525547445,010340005,3
SUD-EST,035,0001,2,Pres2007,246,226,223,nbVoix,Nombre de voix,41,9,5,3,2,38,5,35,70,0,13,2,246,216,206,67,139,20,30,Belleydoux,82,01,5,298,0.081300813,0.1838565022,0.0403587444,0.0224215247,0.0134529148,0.0089686099,0.1704035874,0.0224215247,0.1569506726,0.3139013453,0,0.0582959641,0.0089686099,0.1219512195,0.6747572816,0.3252427184,010350001,6
SUD-EST,036,0001,2,Pres2007,396,354,351,nbVoix,Nombre de voix,57,8,6,1,5,45,2,61,149,0,7,10,396,340,332,121,211,42,56,Belmont-Luthézieu,82,01,0,489,0.1060606061,0.1623931624,0.0227920228,0.0170940171,0.0028490028,0.0142450142,0.1282051282,0.0056980057,0.1737891738,0.4245014245,0,0.0199430199,0.0284900285,0.1414141414,0.6355421687,0.3644578313,010360001,2
SUD-EST,037,0001,2,Pres2007,201,170,169,nbVoix,Nombre de voix,30,1,2,0,2,20,4,24,72,0,10,4,201,172,166,51,115,31,29,Bénonces,82,01,9,280,0.1542288557,0.1775147929,0.0059171598,0.0118343195,0,0.0118343195,0.1183431953,0.0236686391,0.1420118343,0.426035503,0,0.0591715976,0.0236686391,0.144278607,0.6927710843,0.3072289157,010370001,6
SUD-EST,038,0001,2,Pres2007,555,500,489,nbVoix,Nombre de voix,108,20,7,6,8,46,2,102,166,4,15,5,555,481,463,175,288,55,74,Bény,82,01,7,742,0.0990990991,0.2208588957,0.0408997955,0.0143149284,0.0122699387,0.0163599182,0.0940695297,0.0040899796,0.2085889571,0.3394683027,0.0081799591,0.0306748466,0.0102249489,0.1333333333,0.6220302376,0.3779697624,010380001,5
SUD-EST,039,0001,2,Pres2007,303,274,273,nbVoix,Nombre de voix,36,14,2,1,4,34,8,86,80,2,2,4,303,260,255,128,127,29,43,Béon,82,01,0,354,0.095709571,0.1318681319,0.0512820513,0.0073260073,0.0036630037,0.0146520147,0.1245421245,0.0293040293,0.315018315,0.293040293,0.0073260073,0.0073260073,0.0146520147,0.1419141914,0.4980392157,0.5019607843,010390001,3
SUD-EST,040,0001,2,Pres2007,267,231,226,nbVoix,Nombre de voix,56,7,7,0,2,23,9,31,74,3,8,6,267,227,214,75,139,36,40,Béréziat,82,01,7,388,0.1348314607,0.2477876106,0.0309734513,0.0309734513,0,0.0088495575,0.1017699115,0.0398230088,0.1371681416,0.3274336283,0.0132743363,0.0353982301,0.0265486726,0.1498127341,0.6495327103,0.3504672897,010400001,6
SUD-EST,041,0001,2,Pres2007,548,486,475,nbVoix,Nombre de voix,79,31,6,8,8,92,6,105,117,1,11,11,548,470,450,226,224,62,78,Bettant,82,01,9,714,0.1131386861,0.1663157895,0.0652631579,0.0126315789,0.0168421053,0.0168421053,0.1936842105,0.0126315789,0.2210526316,0.2463157895,0.0021052632,0.0231578947,0.0231578947,0.1423357664,0.4977777778,0.5022222222,010410001,4
SUD-EST,042,0001,2,Pres2007,183,167,166,nbVoix,Nombre de voix,37,4,1,1,1,15,5,36,57,0,4,5,183,161,153,57,96,16,22,Bey,82,01,6,242,0.087431694,0.2228915663,0.0240963855,0.0060240964,0.0060240964,0.0060240964,0.0903614458,0.0301204819,0.2168674699,0.343373494,0,0.0240963855,0.0301204819,0.1202185792,0.6274509804,0.3725490196,010420001,2
SUD-EST,043,0001,2,Pres2007,953,843,829,nbVoix,Nombre de voix,184,4,8,5,3,94,5,127,372,3,12,12,953,837,795,240,555,110,116,Beynost,82,01,9,4305,0.1154249738,0.2219541616,0.0048250905,0.0096501809,0.0060313631,0.0036188179,0.1133896261,0.0060313631,0.1531966224,0.4487334138,0.0036188179,0.0144752714,0.0144752714,0.1217208814,0.6981132075,0.3018867925,010430001,2
SUD-EST,043,0002,2,Pres2007,958,845,837,nbVoix,Nombre de voix,165,27,9,2,2,57,3,182,360,1,19,10,958,832,800,304,496,113,126,Beynost,82,01,9,4305,0.117954071,0.1971326165,0.0322580645,0.0107526882,0.0023894863,0.0023894863,0.0681003584,0.0035842294,0.2174432497,0.4301075269,0.0011947431,0.0227001195,0.0119474313,0.1315240084,0.62,0.38,010430002,2
